DATE,VALUE
1/3/1995,381.4
1/4/1995,378.25
1/5/1995,375
1/6/1995,375.9
1/9/1995,372.45
1/10/1995,374.1
1/11/1995,375
1/12/1995,377.6
1/13/1995,379.8
1/16/1995,377.45
1/17/1995,377.9
1/18/1995,382
1/19/1995,383.1
1/20/1995,383
1/23/1995,385.1
1/24/1995,381.5
1/25/1995,381.7
1/26/1995,380.5
1/27/1995,380
1/30/1995,375.9
1/31/1995,375.85
2/1/1995,376.25
2/2/1995,375.25
2/3/1995,376.35
2/6/1995,375.25
2/7/1995,375.2
2/8/1995,374.8
2/9/1995,375.85
2/10/1995,376.4
2/13/1995,375.6
2/14/1995,376
2/15/1995,376.9
2/16/1995,376.1
2/17/1995,376.55
2/20/1995,379.3
2/21/1995,379
2/22/1995,379
2/23/1995,379
2/24/1995,379.6
2/27/1995,376.8
2/28/1995,375.7
3/1/1995,376.3
3/2/1995,374.45
3/3/1995,376.35
3/6/1995,376.6
3/7/1995,379
3/8/1995,383.1
3/9/1995,381
3/10/1995,383.5
3/13/1995,382.75
3/14/1995,385.2
3/15/1995,386.6
3/16/1995,385.15
3/17/1995,382.75
3/20/1995,382.45
3/21/1995,382.6
3/22/1995,381.4
3/23/1995,383.1
3/24/1995,383.25
3/27/1995,382.3
3/28/1995,382.35
3/29/1995,383
3/30/1995,382.1
3/31/1995,386.55
4/3/1995,392.25
4/4/1995,391.95
4/5/1995,392.5
4/6/1995,393.75
4/7/1995,392
4/10/1995,390.9
4/11/1995,389.1
4/12/1995,389.8
4/13/1995,389.9
4/18/1995,394.1
4/19/1995,396.95
4/20/1995,393.35
4/21/1995,390.35
4/24/1995,391.05
4/25/1995,390.2
4/26/1995,389.85
4/27/1995,386.6
4/28/1995,389.5
5/1/1995,386.5
5/2/1995,388.35
5/3/1995,388.8
5/4/1995,390.3
5/5/1995,391.35
5/9/1995,389.9
5/10/1995,383.4
5/11/1995,383.1
5/12/1995,384.1
5/15/1995,383.9
5/16/1995,384.1
5/17/1995,383.4
5/18/1995,383.05
5/19/1995,382.6
5/22/1995,382.35
5/23/1995,381.85
5/24/1995,382.9
5/25/1995,383.75
5/26/1995,385.8
5/30/1995,386.1
5/31/1995,384.25
6/1/1995,383.2
6/2/1995,384.6
6/5/1995,383.4
6/6/1995,384.2
6/7/1995,384.65
6/8/1995,385.95
6/9/1995,386.4
6/12/1995,387.6
6/13/1995,387.5
6/14/1995,386.8
6/15/1995,388
6/16/1995,391.3
6/19/1995,390.5
6/20/1995,390.6
6/21/1995,390.7
6/22/1995,389.8
6/23/1995,389.4
6/26/1995,389.3
6/27/1995,389.35
6/28/1995,389.3
6/29/1995,387.45
6/30/1995,387.6
7/3/1995,384.35
7/4/1995,384.65
7/5/1995,384.6
7/6/1995,384.45
7/7/1995,384.8
7/10/1995,385.75
7/11/1995,384.95
7/12/1995,385.85
7/13/1995,389.3
7/14/1995,388.2
7/17/1995,388.2
7/18/1995,389.3
7/19/1995,389.25
7/20/1995,387.85
7/21/1995,385.85
7/24/1995,386.45
7/25/1995,386.65
7/26/1995,385.8
7/27/1995,386.1
7/28/1995,383.2
7/31/1995,383.35
8/1/1995,381.75
8/2/1995,382.65
8/3/1995,382.75
8/4/1995,384.35
8/7/1995,383.75
8/8/1995,384.35
8/9/1995,384.5
8/10/1995,384.05
8/11/1995,383.9
8/14/1995,383.5
8/15/1995,384.5
8/16/1995,384.1
8/17/1995,383
8/18/1995,384.85
8/21/1995,385.55
8/22/1995,383.55
8/23/1995,383.45
8/24/1995,383.1
8/25/1995,382.6
8/29/1995,383.25
8/30/1995,381.9
8/31/1995,381.65
9/1/1995,381.8
9/4/1995,379.85
9/5/1995,379.4
9/6/1995,379
9/7/1995,380.55
9/8/1995,383.05
9/11/1995,381.9
9/12/1995,382.9
9/13/1995,385.4
9/14/1995,384.7
9/15/1995,385.25
9/18/1995,384.95
9/19/1995,385.65
9/20/1995,385
9/21/1995,382.95
9/22/1995,383.25
9/25/1995,382.2
9/26/1995,383.25
9/27/1995,383.2
9/28/1995,383.55
9/29/1995,383.75
10/2/1995,383.1
10/3/1995,382.25
10/4/1995,382.6
10/5/1995,383.35
10/6/1995,382.5
10/9/1995,384.65
10/10/1995,384.7
10/11/1995,384.7
10/12/1995,384.6
10/13/1995,384
10/16/1995,384
10/17/1995,383.8
10/18/1995,383.75
10/19/1995,383.4
10/20/1995,381.85
10/23/1995,382.55
10/24/1995,382.55
10/25/1995,382.4
10/26/1995,382.7
10/27/1995,382.55
10/30/1995,382.05
10/31/1995,382.4
11/1/1995,382.5
11/2/1995,382.2
11/3/1995,382.8
11/6/1995,382.5
11/7/1995,382.3
11/8/1995,384.7
11/9/1995,384.4
11/10/1995,386.65
11/13/1995,389.6
11/14/1995,386.1
11/15/1995,385.6
11/16/1995,384.65
11/17/1995,386.6
11/20/1995,386.55
11/21/1995,386.8
11/22/1995,385.3
11/23/1995,382.55
11/24/1995,383.5
11/27/1995,385.2
11/28/1995,387.3
11/29/1995,388.95
11/30/1995,387.85
12/1/1995,387.15
12/4/1995,386.25
12/5/1995,386.3
12/6/1995,387.6
12/7/1995,388.4
12/8/1995,389.35
12/11/1995,389.7
12/12/1995,388.45
12/13/1995,388.1
12/14/1995,385.7
12/15/1995,385.85
12/18/1995,387
12/19/1995,388
12/20/1995,387.1
12/21/1995,388.4
12/22/1995,387.2
12/27/1995,387.35
12/28/1995,386.85
12/29/1995,386.7
1/2/1996,387.1
1/3/1996,390.5
1/4/1996,393.6
1/5/1996,396.4
1/8/1996,396
1/9/1996,395.65
1/10/1996,396.75
1/11/1996,399.4
1/12/1996,396.35
1/15/1996,395
1/16/1996,397.8
1/17/1996,398.9
1/18/1996,397.5
1/19/1996,396.8
1/22/1996,401.8
1/23/1996,402.65
1/24/1996,403
1/25/1996,403.35
1/26/1996,407.4
1/29/1996,405.45
1/30/1996,406.7
1/31/1996,403.2
2/1/1996,406.6
2/2/1996,416.25
2/5/1996,415.25
2/6/1996,412.2
2/7/1996,414.75
2/8/1996,406.95
2/9/1996,408.3
2/12/1996,405.25
2/13/1996,403
2/14/1996,403.9
2/15/1996,404.55
2/16/1996,403.05
2/19/1996,405.9
2/20/1996,405.4
2/21/1996,398.5
2/22/1996,399.35
2/23/1996,397.75
2/26/1996,399.55
2/27/1996,398.75
2/28/1996,397.7
2/29/1996,400.35
3/1/1996,400.3
3/4/1996,398.65
3/5/1996,392.9
3/6/1996,393.6
3/7/1996,394.2
3/8/1996,394.85
3/11/1996,396.6
3/12/1996,396
3/13/1996,397.4
3/14/1996,396.1
3/15/1996,395.6
3/18/1996,395.45
3/19/1996,395.05
3/20/1996,394.7
3/21/1996,395.3
3/22/1996,397.3
3/25/1996,398
3/26/1996,399.45
3/27/1996,400
3/28/1996,398.6
3/29/1996,396.7
4/1/1996,395
4/2/1996,394.35
4/3/1996,393.8
4/4/1996,394.3
4/9/1996,397.6
4/10/1996,394.55
4/11/1996,395.15
4/12/1996,395.2
4/15/1996,393.75
4/16/1996,393.5
4/17/1996,391.4
4/18/1996,391.3
4/19/1996,389.9
4/22/1996,390.7
4/23/1996,391.45
4/24/1996,391.1
4/25/1996,390.35
4/26/1996,393.1
4/29/1996,390.75
4/30/1996,390.15
5/1/1996,391
5/2/1996,392.8
5/3/1996,394
5/7/1996,393.75
5/8/1996,393.65
5/9/1996,393.2
5/10/1996,392.8
5/13/1996,391.25
5/14/1996,391.25
5/15/1996,391.85
5/16/1996,392
5/17/1996,392.5
5/20/1996,391.65
5/21/1996,391.2
5/22/1996,391
5/23/1996,391.35
5/24/1996,390.65
5/28/1996,392.15
5/29/1996,391.65
5/30/1996,391.55
5/31/1996,390.55
6/3/1996,390.8
6/4/1996,390.35
6/5/1996,387.95
6/6/1996,385.7
6/7/1996,385.85
6/10/1996,385.55
6/11/1996,385.4
6/12/1996,384.5
6/13/1996,384.8
6/14/1996,383.2
6/17/1996,384.55
6/18/1996,384.9
6/19/1996,386
6/20/1996,384.3
6/21/1996,384.2
6/24/1996,383.7
6/25/1996,384.85
6/26/1996,384
6/27/1996,383
6/28/1996,381.3
7/1/1996,380.6
7/2/1996,381.75
7/3/1996,382.5
7/4/1996,380.9
7/5/1996,381
7/8/1996,382.3
7/9/1996,381
7/10/1996,383.4
7/11/1996,382.5
7/12/1996,384
7/15/1996,383.55
7/16/1996,384.65
7/17/1996,383.65
7/18/1996,383.85
7/19/1996,384.35
7/22/1996,384.5
7/23/1996,385.2
7/24/1996,384.4
7/25/1996,385.05
7/26/1996,384.9
7/29/1996,385.05
7/30/1996,384.9
7/31/1996,385.5
8/1/1996,386.65
8/2/1996,387.15
8/5/1996,387.95
8/6/1996,388.85
8/7/1996,388.25
8/8/1996,387.75
8/9/1996,388.4
8/12/1996,387.2
8/13/1996,387.7
8/14/1996,387.15
8/15/1996,386.3
8/16/1996,386.2
8/19/1996,386.25
8/20/1996,387.1
8/21/1996,387.45
8/22/1996,386.9
8/23/1996,387.5
8/27/1996,389
8/28/1996,388.65
8/29/1996,388.05
8/30/1996,387.25
9/2/1996,386.9
9/3/1996,387.2
9/4/1996,385.95
9/5/1996,386
9/6/1996,385.6
9/9/1996,385
9/10/1996,382.45
9/11/1996,383.15
9/12/1996,382.2
9/13/1996,382.5
9/16/1996,382.65
9/17/1996,383.3
9/18/1996,382.9
9/19/1996,383.1
9/20/1996,382.5
9/23/1996,381.2
9/24/1996,381.6
9/25/1996,383.25
9/26/1996,382.05
9/27/1996,380.3
9/30/1996,379.3
10/1/1996,377.05
10/2/1996,379.2
10/3/1996,379.5
10/4/1996,380.2
10/7/1996,379.6
10/8/1996,381
10/9/1996,380.9
10/10/1996,381.6
10/11/1996,381.85
10/14/1996,381.05
10/15/1996,381
10/16/1996,380.8
10/17/1996,380.55
10/18/1996,379.6
10/21/1996,380
10/22/1996,382.4
10/23/1996,383.95
10/24/1996,383.7
10/25/1996,382.2
